ref_area.label,source.label,indicator.label,sex.label,classif1.label,Occupation,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Angola,LFS - Employment Survey,"Employment by sex, age and occupation (thousands)",Total,"Age (Youth, adults): 15+","Occupation (ISCO-08): Total",2025,13450.366,,,,Repository: ILO-STATISTICS - Micro dat[...]
Angola,LFS - Employment Survey,"Employment by sex, age and occupation (thousands)",Total,"Age (Youth, adults): 15+","Occupation (ISCO-08): 1. Managers",2025,124.622,,,,Repository: ILO-STATISTICS - Micro[...]
